,FIPS,State,County,Fast Food Restaurants 2009,Fast Food Restaurants 2014,Fast-food restaurants (% change),"Fast-food restaurants/1,000 pop 2009",Yearly Growth Rate %,Fast Food Restaurants 2015 (PROJECTED)
0,01001,AL,Autauga,30,36,20,0.55417013,4.0,37.0
1,01003,AL,Baldwin,112,132,17.857142857,0.624282354,3.5714285714,137.0
2,01005,AL,Barbour,21,22,4.761904762,0.759301443,0.9523809524000001,22.0
3,01007,AL,Bibb,7,5,-28.571428571,0.305130552,-5.7142857142,5.0
4,01009,AL,Blount,24,21,-12.5,0.418548682,-2.5,20.0
5,01011,AL,Bullock,4,3,-25,0.364066624,-5.0,3.0
6,01013,AL,Butler,17,17,0,0.814683472,0.0,17.0
7,01015,AL,Calhoun,95,103,8.421052632,0.802615682,1.6842105264,105.0
8,01017,AL,Chambers,22,26,18.181818182,0.63983248,3.6363636364,27.0
9,01019,AL,Cherokee,16,15,-6.25,0.618859751,-1.25,15.0
10,01021,AL,Chilton,23,20,-13.043478261,0.528930181,-2.6086956522,19.0
11,01023,AL,Choctaw,4,6,50,0.286204923,10.0,7.0
12,01025,AL,Clarke,23,26,13.043478261,0.883324372,2.6086956522,27.0
13,01027,AL,Clay,4,4,0,0.285591889,0.0,4.0
14,01029,AL,Cleburne,7,8,14.285714286,0.469231801,2.8571428572,8.0
15,01031,AL,Coffee,35,34,-2.857142857,0.707928803,-0.5714285714,34.0
16,01033,AL,Colbert,41,52,26.829268293,0.75331643,5.3658536586,55.0
17,01035,AL,Conecuh,5,7,40,0.376676209,8.0,8.0
18,01037,AL,Coosa,0,1,,0,,
19,01039,AL,Covington,25,24,-4,0.664045899,-0.8,24.0
20,01041,AL,Crenshaw,3,5,66.666666667,0.213918996,13.3333333334,6.0
21,01043,AL,Cullman,50,53,6,0.622269791,1.2,54.0
22,01045,AL,Dale,33,34,3.03030303,0.661932844,0.606060606,34.0
23,01047,AL,Dallas,20,19,-5,0.457048836,-1.0,19.0
24,01049,AL,DeKalb,41,43,4.87804878,0.578573041,0.9756097560000001,43.0
25,01051,AL,Elmore,29,45,55.172413793,0.368806593,11.0344827586,50.0
26,01053,AL,Escambia,22,27,22.727272727,0.575178436,4.5454545454,28.0
27,01055,AL,Etowah,82,79,-3.658536585,0.786653748,-0.7317073169999999,78.0
