cnty_fips,County,State,Value,theme_range
01001,Autauga,AL,218.6,190.4 - 220.8 (640)
01003,Baldwin,AL,198.3,190.4 - 220.8 (640)
01005,Barbour,AL,258.9,220.9 - 568.7 (640)
01007,Bibb,AL,222.6,220.9 - 568.7 (640)
01009,Blount,AL,216.8,190.4 - 220.8 (640)
01011,Bullock,AL,223.9,220.9 - 568.7 (640)
01013,Butler,AL,244.3,220.9 - 568.7 (640)
01015,Calhoun,AL,303.2,220.9 - 568.7 (640)
01017,Chambers,AL,203.1,190.4 - 220.8 (640)
01019,Cherokee,AL,255.2,220.9 - 568.7 (640)
01021,Chilton,AL,274.8,220.9 - 568.7 (640)
01023,Choctaw,AL,281.5,220.9 - 568.7 (640)
01025,Clarke,AL,238.4,220.9 - 568.7 (640)
01027,Clay,AL,286.3,220.9 - 568.7 (640)
01029,Cleburne,AL,285.1,220.9 - 568.7 (640)
01031,Coffee,AL,213.3,190.4 - 220.8 (640)
01033,Colbert,AL,283.6,220.9 - 568.7 (640)
01035,Conecuh,AL,247.4,220.9 - 568.7 (640)
01037,Coosa,AL,231.1,220.9 - 568.7 (640)
01039,Covington,AL,257.3,220.9 - 568.7 (640)
01041,Crenshaw,AL,243.3,220.9 - 568.7 (640)
01043,Cullman,AL,225,220.9 - 568.7 (640)
01045,Dale,AL,225.6,220.9 - 568.7 (640)
01047,Dallas,AL,303.9,220.9 - 568.7 (640)
01049,DeKalb,AL,281.6,220.9 - 568.7 (640)
01051,Elmore,AL,238,220.9 - 568.7 (640)
01053,Escambia,AL,238.7,220.9 - 568.7 (640)
01055,Etowah,AL,286.1,220.9 - 568.7 (640)
01057,Fayette,AL,236.9,220.9 - 568.7 (640)
01059,Franklin,AL,273.7,220.9 - 568.7 (640)
01061,Geneva,AL,230.8,220.9 - 568.7 (640)
01063,Greene,AL,249.9,220.9 - 568.7 (640)
01065,Hale,AL,247,220.9 - 568.7 (640)
01067,Henry,AL,214.3,190.4 - 220.8 (640)
01069,Houston,AL,193.3,190.4 - 220.8 (640)
01071,Jackson,AL,265.8,220.9 - 568.7 (640)
01073,Jefferson,AL,198.5,190.4 - 220.8 (640)
01075,Lamar,AL,248.7,220.9 - 568.7 (640)
01077,Lauderdale,AL,206.5,190.4 - 220.8 (640)
01079,Lawrence,AL,264.3,220.9 - 568.7 (640)
01081,Lee,AL,191.6,190.4 - 220.8 (640)
01083,Limestone,AL,235.6,220.9 - 568.7 (640)
01085,Lowndes,AL,235.1,220.9 - 568.7 (640)
01087,Macon,AL,285,220.9 - 568.7 (640)
01089,Madison,AL,201.7,190.4 - 220.8 (640)
01091,Marengo,AL,285.9,220.9 - 568.7 (640)
01093,Marion,AL,298,220.9 - 568.7 (640)
01095,Marshall,AL,264.5,220.9 - 568.7 (640)
01097,Mobile,AL,231.9,220.9 - 568.7 (640)
01099,Monroe,AL,206.5,190.4 - 220.8 (640)
01101,Montgomery,AL,186.9,169.5 - 190.3 (639)
01103,Morgan,AL,241.6,220.9 - 568.7 (640)
01105,Perry,AL,281.2,220.9 - 568.7 (640)
01107,Pickens,AL,238.2,220.9 - 568.7 (640)
01109,Pike,AL,220.2,190.4 - 220.8 (640)
01111,Randolph,AL,295.1,220.9 - 568.7 (640)
01113,Russell,AL,182.2,169.5 - 190.3 (639)
01115,St. Clair,AL,229.7,220.9 - 568.7 (640)
