,Population,State Code (FIPS),County Code (FIPS),State,County,Abbreviation
0,208563,1,3,Alabama,Baldwin County,AL
1,114611,1,15,Alabama,Calhoun County,AL
2,82471,1,43,Alabama,Cullman County,AL
3,70900,1,49,Alabama,DeKalb County,AL
4,81799,1,51,Alabama,Elmore County,AL
5,102564,1,55,Alabama,Etowah County,AL
6,104056,1,69,Alabama,Houston County,AL
7,659521,1,73,Alabama,Jefferson County,AL
8,92318,1,77,Alabama,Lauderdale County,AL
9,158991,1,81,Alabama,Lee County,AL
10,92753,1,83,Alabama,Limestone County,AL
11,356967,1,89,Alabama,Madison County,AL
12,95157,1,95,Alabama,Marshall County,AL
13,414836,1,97,Alabama,Mobile County,AL
14,226349,1,101,Alabama,Montgomery County,AL
15,119012,1,103,Alabama,Morgan County,AL
16,88019,1,115,Alabama,St. Clair County,AL
17,210622,1,117,Alabama,Shelby County,AL
18,80103,1,121,Alabama,Talladega County,AL
19,206102,1,125,Alabama,Tuscaloosa County,AL
20,64967,1,127,Alabama,Walker County,AL
21,298192,2,20,Alaska,Anchorage Municipality,AK
22,100605,2,90,Alaska,Fairbanks North Star Borough,AK
23,104365,2,170,Alaska,Matanuska-Susitna Borough,AK
24,73112,4,1,Arizona,Apache County,AZ
25,125770,4,3,Arizona,Cochise County,AZ
26,140908,4,5,Arizona,Coconino County,AZ
27,4242997,4,13,Arizona,Maricopa County,AZ
28,205249,4,15,Arizona,Mohave County,AZ
29,110026,4,17,Arizona,Navajo County,AZ
30,1016206,4,19,Arizona,Pima County,AZ
31,418540,4,21,Arizona,Pinal County,AZ
32,225562,4,25,Arizona,Yavapai County,AZ
33,205631,4,27,Arizona,Yuma County,AZ
34,258291,5,7,Arkansas,Benton County,AR
35,105835,5,31,Arkansas,Craighead County,AR
36,122227,5,45,Arkansas,Faulkner County,AR
37,97477,5,51,Arkansas,Garland County,AR
38,70016,5,69,Arkansas,Jefferson County,AR
39,72228,5,85,Arkansas,Lonoke County,AR
40,393250,5,119,Arkansas,Pulaski County,AR
41,118703,5,125,Arkansas,Saline County,AR
42,127793,5,131,Arkansas,Sebastian County,AR
43,228049,5,143,Arkansas,Washington County,AR
44,79263,5,145,Arkansas,White County,AR
45,1647704,6,1,California,Alameda County,CA
46,226864,6,7,California,Butte County,CA
47,1135127,6,13,California,Contra Costa County,CA
48,185625,6,17,California,El Dorado County,CA
49,979915,6,19,California,Fresno County,CA
50,136646,6,23,California,Humboldt County,CA
51,180883,6,25,California,Imperial County,CA
52,884788,6,29,California,Kern County,CA
53,149785,6,31,California,Kings County,CA
54,64116,6,33,California,Lake County,CA
55,10137915,6,37,California,Los Angeles County,CA
56,154697,6,39,California,Madera County,CA
57,260651,6,41,California,Marin County,CA
58,87628,6,45,California,Mendocino County,CA
59,268672,6,47,California,Merced County,CA
60,435232,6,53,California,Monterey County,CA
61,142166,6,55,California,Napa County,CA
62,99107,6,57,California,Nevada County,CA
63,3172532,6,59,California,Orange County,CA
64,380531,6,61,California,Placer County,CA
65,2387741,6,65,California,Riverside County,CA
66,1514460,6,67,California,Sacramento County,CA
67,2140096,6,71,California,San Bernardino County,CA
68,3317749,6,73,California,San Diego County,CA
69,870887,6,75,California,San Francisco County,CA
70,733709,6,77,California,San Joaquin County,CA
71,282887,6,79,California,San Luis Obispo County,CA
72,764797,6,81,California,San Mateo County,CA
73,446170,6,83,California,Santa Barbara County,CA
74,1919402,6,85,California,Santa Clara County,CA
75,274673,6,87,California,Santa Cruz County,CA
76,179631,6,89,California,Shasta County,CA
77,440207,6,95,California,Solano County,CA
78,503070,6,97,California,Sonoma County,CA
79,541560,6,99,California,Stanislaus County,CA
80,96651,6,101,California,Sutter County,CA
81,460437,6,107,California,Tulare County,CA
82,849738,6,111,California,Ventura County,CA
83,215802,6,113,California,Yolo County,CA
84,75275,6,115,California,Yuba County,CA
85,498187,8,1,Colorado,Adams County,CO
86,637068,8,5,Colorado,Arapahoe County,CO
87,322226,8,13,Colorado,Boulder County,CO
88,66529,8,14,Colorado,Broomfield County,CO
89,693060,8,31,Colorado,Denver County,CO
90,328632,8,35,Colorado,Douglas County,CO
91,688284,8,41,Colorado,El Paso County,CO
92,571837,8,59,Colorado,Jefferson County,CO
93,339993,8,69,Colorado,Larimer County,CO
94,150083,8,77,Colorado,Mesa County,CO
95,165123,8,101,Colorado,Pueblo County,CO
96,294932,8,123,Colorado,Weld County,CO
97,944177,9,1,Connecticut,Fairfield County,CT
98,892389,9,3,Connecticut,Hartford County,CT
99,182571,9,5,Connecticut,Litchfield County,CT
100,163329,9,7,Connecticut,Middlesex County,CT
101,856875,9,9,Connecticut,New Haven County,CT
102,269801,9,11,Connecticut,New London County,CT
103,151118,9,13,Connecticut,Tolland County,CT
104,116192,9,15,Connecticut,Windham County,CT
105,174827,10,1,Delaware,Kent County,DE
106,556987,10,3,Delaware,New Castle County,DE
107,220251,10,5,Delaware,Sussex County,DE
108,263496,12,1,Florida,Alachua County,FL
109,183974,12,5,Florida,Bay County,FL
110,579130,12,9,Florida,Brevard County,FL
111,1909632,12,11,Florida,Broward County,FL
112,178465,12,15,Florida,Charlotte County,FL
113,143621,12,17,Florida,Citrus County,FL
114,208311,12,19,Florida,Clay County,FL
115,365136,12,21,Florida,Collier County,FL
116,69299,12,23,Florida,Columbia County,FL
117,926255,12,31,Florida,Duval County,FL
118,315187,12,33,Florida,Escambia County,FL
119,108310,12,35,Florida,Flagler County,FL
120,182835,12,53,Florida,Hernando County,FL
121,100917,12,55,Florida,Highlands County,FL
122,1376238,12,57,Florida,Hillsborough County,FL
123,151563,12,61,Florida,Indian River County,FL
124,335396,12,69,Florida,Lake County,FL
125,722336,12,71,Florida,Lee County,FL
126,287822,12,73,Florida,Leon County,FL
127,375888,12,81,Florida,Manatee County,FL
128,349020,12,83,Florida,Marion County,FL
129,158701,12,85,Florida,Martin County,FL
130,2712945,12,86,Florida,Miami-Dade County,FL
131,79077,12,87,Florida,Monroe County,FL
132,80622,12,89,Florida,Nassau County,FL
133,201170,12,91,Florida,Okaloosa County,FL
134,1314367,12,95,Florida,Orange County,FL
135,336015,12,97,Florida,Osceola County,FL
136,1443810,12,99,Florida,Palm Beach County,FL
137,512368,12,101,Florida,Pasco County,FL
138,960730,12,103,Florida,Pinellas County,FL
139,666149,12,105,Florida,Polk County,FL
140,72277,12,107,Florida,Putnam County,FL
141,235087,12,109,Florida,St. Johns County,FL
142,306507,12,111,Florida,St. Lucie County,FL
143,170497,12,113,Florida,Santa Rosa County,FL
144,412569,12,115,Florida,Sarasota County,FL
145,455479,12,117,Florida,Seminole County,FL
146,123996,12,119,Florida,Sumter County,FL
147,529364,12,127,Florida,Volusia County,FL
148,65889,12,131,Florida,Walton County,FL
149,77126,13,13,Georgia,Barrow County,GA
150,103807,13,15,Georgia,Bartow County,GA
151,152760,13,21,Georgia,Bibb County,GA
152,74722,13,31,Georgia,Bulloch County,GA
153,116261,13,45,Georgia,Carroll County,GA
154,66398,13,47,Georgia,Catoosa County,GA
155,289082,13,51,Georgia,Chatham County,GA
156,241689,13,57,Georgia,Cherokee County,GA
157,124707,13,59,Georgia,Clarke County,GA
158,279462,13,63,Georgia,Clayton County,GA
159,748150,13,67,Georgia,Cobb County,GA
160,147450,13,73,Georgia,Columbia County,GA
161,140526,13,77,Georgia,Coweta County,GA
162,740321,13,89,Georgia,DeKalb County,GA
163,90017,13,95,Georgia,Dougherty County,GA
164,142224,13,97,Georgia,Douglas County,GA
165,111627,13,113,Georgia,Fayette County,GA
166,96560,13,115,Georgia,Floyd County,GA
167,221009,13,117,Georgia,Forsyth County,GA
168,1023336,13,121,Georgia,Fulton County,GA
169,84502,13,127,Georgia,Glynn County,GA
170,907135,13,135,Georgia,Gwinnett County,GA
171,196637,13,139,Georgia,Hall County,GA
172,221768,13,151,Georgia,Henry County,GA
173,152122,13,153,Georgia,Houston County,GA
174,62570,13,179,Georgia,Liberty County,GA
175,114628,13,185,Georgia,Lowndes County,GA
176,197485,13,215,Georgia,Muscogee County,GA
177,106999,13,217,Georgia,Newton County,GA
178,155825,13,223,Georgia,Paulding County,GA
179,201647,13,245,Georgia,Richmond County,GA
180,89355,13,247,Georgia,Rockdale County,GA
181,70005,13,285,Georgia,Troup County,GA
182,67896,13,295,Georgia,Walker County,GA
183,90184,13,297,Georgia,Walton County,GA
184,104589,13,313,Georgia,Whitfield County,GA
185,198449,15,1,Hawaii,Hawaii County,HI
186,992605,15,3,Hawaii,Honolulu County,HI
187,72029,15,7,Hawaii,Kauai County,HI
188,165379,15,9,Hawaii,Maui County,HI
189,444028,16,1,Idaho,Ada County,ID
190,84377,16,5,Idaho,Bannock County,ID
191,112232,16,19,Idaho,Bonneville County,ID
192,211698,16,27,Idaho,Canyon County,ID
193,154311,16,55,Idaho,Kootenai County,ID
194,83514,16,83,Idaho,Twin Falls County,ID
195,66578,17,1,Illinois,Adams County,IL
196,208419,17,19,Illinois,Champaign County,IL
197,5203499,17,31,Illinois,Cook County,IL
198,104528,17,37,Illinois,DeKalb County,IL
199,929368,17,43,Illinois,DuPage County,IL
200,531715,17,89,Illinois,Kane County,IL
201,110008,17,91,Illinois,Kankakee County,IL
202,124695,17,93,Illinois,Kendall County,IL
203,703047,17,97,Illinois,Lake County,IL
204,110642,17,99,Illinois,LaSalle County,IL
205,307004,17,111,Illinois,McHenry County,IL
